Postcode,Lat,Lon,State,Suburb
200,-35.2777,149.1189,ACT,Australian National University
221,-35.3049,149.1412,ACT,Barton
800,-12.4611,130.8418,NT,Darwin
801,-12.4611,130.8418,NT,Darwin
803,-12.4348,130.7443,NT,Wagait Beach
804,-12.4305,130.8414,NT,Parap
810,-12.37458125,130.87516875,NT,Casuarina
811,-12.374,130.8822,NT,Casuarina
812,-14.924600000000002,132.30243000000002,NT,Sanderson
813,-12.3907,130.8972,NT,Sanderson
814,-12.383,130.8517,NT,Nightcliff
815,-12.3792,130.8784,NT,Charles Darwin University
820,-12.429482352941177,130.85701176470587,NT,Winnellie
821,-12.4292,130.8859,NT,Winnellie
822,-12.692208571428571,131.3428742857143,NT,Milyakburra
828,-12.43085,130.9359,NT,Berrimah
829,-12.45305,130.9827,NT,Pinelands
830,-12.48858181818182,130.978,NT,Driver
831,-12.486,130.9833,NT,Palmerston
832,-12.496675,130.9989375,NT,Zuccoli
834,-12.519,131.0284,NT,Virginia
835,-12.512633333333333,131.03813333333335,NT,Coolalinga
836,-12.547833333333335,131.13146666666668,NT,Girraween
837,-12.762450000000001,131.09655,NT,Manton
838,-12.6968,131.01,NT,Berry Springs
839,-12.5231,131.0415,NT,Coolalinga
840,-12.728866666666667,130.43806666666669,NT,Dundee Beach
841,-12.8193,130.9697,NT,Darwin River
845,-13.0505,131.0307,NT,Batchelor
846,-13.2379,131.1056,NT,Adelaide River
847,-13.8208,131.8329,NT,Pine Creek
850,-14.4471,132.2784,NT,Cossack
851,-14.4652,132.2635,NT,Katherine
852,-15.271905882352941,132.9672705882353,NT,Yarralin
853,-14.55225,132.45965,NT,Tindal
854,-15.481300000000001,134.7332,NT,King Ash Bay
860,-19.6548,134.1871,NT,Tennant Creek
861,-23.7,133.8833,NT,Tennant Creek
862,-27.10161111111111,139.33715555555557,NT,Warrego
870,-23.701755,133.87304,NT,Stuart
871,-23.7,133.8833,NT,Alice Springs
872,-23.161997222222222,133.15915972222223,NT,Ampilatwatja
873,-23.5298,133.5021,NT,Heavitree Gap Cpa
880,-12.289024999999999,136.54605,NT,Nhulunbuy
881,-12.1816,136.7784,NT,Nhulunbuy
885,-13.8541,136.4213,NT,Alyangula
886,-12.6705,132.836,NT,Jabiru
906,-12.4292,130.8859,NT,Winnellie
907,-12.4292,130.8859,NT,Winnellie
909,-12.3731,130.8681,NT,Charles Darwin University
1001,-33.8678,151.2073,NSW,Sydney
1002,-33.8678,151.2073,NSW,Sydney
1003,-33.8678,151.2073,NSW,Sydney
1004,-33.8678,151.2073,NSW,Sydney
1005,-33.8678,151.2073,NSW,Sydney
1006,-33.8678,151.2073,NSW,Sydney
1007,-33.8678,151.2073,NSW,Sydney
1008,-33.8678,151.2073,NSW,Sydney
1009,-33.8678,151.2073,NSW,Sydney
1010,-33.8678,151.2073,NSW,Sydney
1011,-33.8678,151.2073,NSW,Sydney
1020,-33.8678,151.2073,NSW,Sydney
1021,-33.8678,151.2073,NSW,Sydney
1022,-33.8678,151.2073,NSW,Sydney
1023,-33.8678,151.2073,NSW,Sydney
1025,-33.8678,151.2073,NSW,Sydney
1026,-33.8678,151.2073,NSW,Sydney
1027,-33.8678,151.2073,NSW,Sydney
1028,-33.8678,151.2073,NSW,Sydney
1029,-33.8678,151.2073,NSW,Sydney
1030,-33.8678,151.2073,NSW,Sydney
1031,-33.8678,151.2073,NSW,Sydney
1032,-33.8678,151.2073,NSW,Sydney
1033,-33.8678,151.2073,NSW,Sydney
1034,-33.8678,151.2073,NSW,Sydney
1035,-33.8678,151.2073,NSW,Sydney
1036,-33.8678,151.2073,NSW,Sydney
1037,-33.8678,151.2073,NSW,Sydney
1038,-33.8678,151.2073,NSW,Sydney
1039,-33.8678,151.2073,NSW,Sydney
1040,-33.8678,151.2073,NSW,Sydney
1041,-33.8678,151.2073,NSW,Sydney
1042,-33.8678,151.2073,NSW,Sydney
1043,-33.8678,151.2073,NSW,Sydney
1044,-33.8678,151.2073,NSW,Sydney
1045,-33.8678,151.2073,NSW,Sydney
1046,-33.8678,151.2073,NSW,Sydney
1100,-33.8678,151.2073,NSW,Sydney
1101,-33.8678,151.2073,NSW,Sydney
1105,-33.8678,151.2073,NSW,Sydney
1106,-33.8678,151.2073,NSW,Sydney
1107,-33.8678,151.2073,NSW,Sydney
1108,-33.8678,151.2073,NSW,Sydney
1109,-33.8678,151.2073,NSW,Sydney
1110,-33.8678,151.2073,NSW,Sydney
1112,-33.8678,151.2073,NSW,Sydney
1113,-33.8678,151.2073,NSW,Sydney
1114,-33.8678,151.2073,NSW,Sydney
1115,-33.8678,151.2073,NSW,Sydney
1116,-33.8678,151.2073,NSW,Sydney
1117,-33.8678,151.2073,NSW,Sydney
1118,-33.8678,151.2073,NSW,Sydney
1119,-33.8678,151.2073,NSW,Sydney
1120,-33.8678,151.2073,NSW,Sydney
1121,-33.8678,151.2073,NSW,Sydney
1122,-33.8678,151.2073,NSW,Sydney
1123,-33.8678,151.2073,NSW,Sydney
1124,-33.8678,151.2073,NSW,Sydney
1125,-33.8678,151.2073,NSW,Sydney
1126,-33.8678,151.2073,NSW,Sydney
1127,-33.8678,151.2073,NSW,Sydney
1128,-33.8678,151.2073,NSW,Sydney
1129,-33.8678,151.2073,NSW,Sydney
1130,-33.8678,151.2073,NSW,Sydney
1131,-33.8678,151.2073,NSW,Sydney
1132,-33.8678,151.2073,NSW,Sydney
1133,-33.8678,151.2073,NSW,Sydney
1134,-33.8678,151.2073,NSW,Sydney
1135,-33.8678,151.2073,NSW,Sydney
1136,-33.8678,151.2073,NSW,Sydney
1137,-33.8678,151.2073,NSW,Sydney
1138,-33.8678,151.2073,NSW,Sydney
1139,-33.8678,151.2073,NSW,Sydney
1140,-33.8678,151.2073,NSW,Sydney
1141,-33.8678,151.2073,NSW,Sydney
1142,-33.8678,151.2073,NSW,Sydney
1143,-33.8678,151.2073,NSW,Sydney
1144,-33.8678,151.2073,NSW,Sydney
1145,-33.8678,151.2073,NSW,Sydney
1146,-33.8678,151.2073,NSW,Sydney
1147,-33.8678,151.2073,NSW,Sydney
1148,-33.8678,151.2073,NSW,Sydney
1149,-33.8678,151.2073,NSW,Sydney
1150,-33.8678,151.2073,NSW,Sydney
1151,-33.8678,151.2073,NSW,Sydney
1152,-33.8678,151.2073,NSW,Sydney
1153,-33.8678,151.2073,NSW,Sydney
1154,-33.8678,151.2073,NSW,Sydney
1155,-33.8678,151.2073,NSW,Sydney
1156,-33.8678,151.2073,NSW,Sydney
1157,-33.8678,151.2073,NSW,Sydney
1158,-33.8678,151.2073,NSW,Sydney
1159,-33.8678,151.2073,NSW,Sydney
1160,-33.8678,151.2073,NSW,Sydney
1161,-33.8678,151.2073,NSW,Sydney
1162,-33.8678,151.2073,NSW,Sydney
1163,-33.8678,151.2073,NSW,Sydney
1164,-33.8678,151.2073,NSW,Sydney
1165,-33.8678,151.2073,NSW,Sydney
1166,-33.8678,151.2073,NSW,Sydney
1167,-33.8678,151.2073,NSW,Sydney
1168,-33.8678,151.2073,NSW,Sydney
1169,-33.8678,151.2073,NSW,Sydney
1170,-33.8678,151.2073,NSW,Sydney
1171,-33.8678,151.2073,NSW,Sydney
1172,-33.8678,151.2073,NSW,Sydney
1173,-33.8678,151.2073,NSW,Sydney
1174,-33.8678,151.2073,NSW,Sydney
1175,-33.8678,151.2073,NSW,Sydney
1176,-33.8678,151.2073,NSW,Sydney
1177,-33.8678,151.2073,NSW,Sydney
1178,-33.8678,151.2073,NSW,Sydney
1179,-33.8678,151.2073,NSW,Sydney
1180,-33.8678,151.2073,NSW,Sydney
1181,-33.8678,151.2073,NSW,Sydney
1182,-33.8678,151.2073,NSW,Sydney
1183,-33.8678,151.2073,NSW,Sydney
1184,-33.8678,151.2073,NSW,Sydney
1185,-33.8678,151.2073,NSW,Sydney
